ID,Título,Dirección,Código Postal,Localidad,Descripción,Accesibilidad,Servicios,Teléfonos,Emails,URLs,Horarios,Transportes
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/6079820-ermita-san-isidro.json,Ermita de San Isidro,PASEO ERMITA DEL SANTO 72,28019,MADRID," Descripción monumental: Santuario cuyo origen se remonta a la Edad Media, ubicado junto al manantial que San Isidro había hecho brotar milagrosamente para dar de beber a su amo Iván de Vargas y que la tradición popular atribuye propiedades curativas, de una sola nave con pórtico, cúpula hexagonal cubierta de pizarra coronada por una linterna, reconstruido según el modelo de 1724. Metro: Marqués de Vadillo (línea 5).  Bus: 25, 50, 17  Bicimad: Estación 212 (glorieta Marqués de Vadillo, 9).",0,N/A,,,,De lunes a domingo de 10 a 14 horas.  Culto: sábados (misa por los difuntos de la semana) a las 12 horas. Domingos a las 12 horas.  Cerrada los días de apertura de la Capilla de San Isidro y durante el mes de agosto.,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/3357-ermita-virgen-puerto.json,Ermita Virgen del Puerto,PASEO VIRGEN DEL PUERTO 4,28005,MADRID," Descripción monumental: Construido por Pedro Ribera en 1718.  Se encuadra en un proyecto urbanístico propuesto por el propio arquitecto para toda la ribera del Manzanares. De planta octogonal con exedras, lleva cubierta de pizarra. Metro: Príncipe Pio (líneas 6, 10 y Ramal), Puerta del Ángel (línea 6).  Bus: 41, 62, C2, 138, 25, 33, 39, C1, 31, 65.   Cercanías Renfe: Príncipe Pío (líneas C1, C7 y C10).    Bicimad: Estación 167 (calle Segovia, 45).",3,N/A,,,,,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11506113-fuente-san-isidro.json,Fuente de San Isidro,PASEO ERMITA DEL SANTO 72,28019,MADRID," Descripción monumental: Manantial de origen medieval, que San Isidro Labrador había hecho brotar milagrosamente al clavar su aguijada en el suelo para dar de beber a su señor Iván de Vargas, que la tradición popular atribuye propiedades curativas. Metro: Marqués de Vadillo (línea 5)  Bus: 25, 17, 50  Bicimad:  Estación 212 (glorieta Marqués de Vadillo, 9)",1,N/A,,,,De lunes a domingo de 9 a 15 horas.,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/3356-iglesia-catedral-fuerzas-armadas.json,Iglesia Catedral de las Fuerzas Armadas,CALLE SACRAMENTO 11,28005,MADRID,"  Metro: Ópera (Líneas 2, 5 y Ramal).  Bus: 148, 3, SE712, 31, 50, 65.  Bicimad: Estaciones 166 (calle Segovia, 26), 35 (plaza del Cordón, 1), 36 (plaza de Ramales), 9 (plaza de San Miguel, 9), 24 (calle Carlos III, 1).",3,N/A,,,,,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/3734-iglesia-convento-santisimo-cristo-pardo.json,Iglesia Convento del Santísimo Cristo del Pardo,PISTA CRISTO DE EL PARDO 11,28048,MADRID,  ,3,N/A,,,,,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/3480-iglesia-cristo-rey-arguelles.json,Iglesia Cristo Rey de Argüelles,CALLE MARTIN DE LOS HEROS 91,28008,MADRID,"  Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Moncloa (líneas 3 y 6).  Bus: 62, 74.  Bicimad: Estación 117 (calle Altamirano, 24), 111a (calle Arcipreste de Hita, 12), 111b (calle Arcipreste de Hita, 12), 110 (paseo de Moret, 2).  Aparcamiento: Marqués de Urqujo (63) Marqués de Urquijo entre calle Princesa y calle Juan Álvarez de Mendizabal.",3,N/A,,,,,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/18320-iglesia-santisima-trinidad-trinitarios-.json,Iglesia de la Santísima Trinidad (Trinitarios),CALLE ECHEGARAY 30,28014,MADRID,"  Metro: Antón Martín (línea 1), Sol (líneas 1, 2 y 3).  Bus: 002, M1, SE712, 26, 32, 6.  Cercanías Renfe: Sol (líneas C3, C3a, C4 y C4a).  Bicimad: Estación 52 (plaza de Santa Ana, 10), 41 (calle Atocha, 54).  Aparcamiento: Plaza de Santa Ana (77).",3,N/A,,,,,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/3617-iglesia-maria-reina.json,Iglesia de María Reina,CALLE PICO DE LA MALICIOSA 9,28038,MADRID,"  Metro: Portazgo (línea 1).  Bus: 103, 136, 54, 58, SE853.  Bicimad: Estación 428 (avenida de la Albufera, 136).",3,N/A,,,,,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/3573-iglesia-nuestra-senora-maravillas.json,Iglesia de Nuestra Señora de las Maravillas,CALLE DOS DE MAYO 11,28004,MADRID,"  Metro: Tribunal (líneas 1 y 10), Bilbao (líneas 1 y 4), Noviciado (línea 2), San Bernardo (líneas 2 y 4).  Bus: 002, 147.  Bicimad: Estaciones 11 (calle San Andrés, 18), 59 (calle Espíritu Santo, 30).",3,N/A,,,,,
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/3743-iglesia-san-anton.json,Iglesia de San Antón,CALLE HORTALEZA 63,28004,MADRID,"  Metro: Chueca (línea 5), Tribunal (líneas 1 y 10), Alonso Martínez (líneas 4, 5 y 10).  Bus: 3.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8 y C10).  Bicimad: Estación 6 (calle Hortaleza, 63), 7 (calle Hortaleza, 75), 58 (calle Augusto Figueroa, 33).  Aparcamiento: Aparcamiento Escuelas de San Antón (91) Santa Brígida.",3,N/A,,,,,
